Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GNB,Guinea-Bissau,CO2 emissions (kt),146.68,150.347,154.014,194.351,201.685,212.68599999999998,216.35299999999998,231.021,227.354,234.688,238.355,245.68900000000002,253.023,256.69,271.358,278.692
GNQ,Equatorial Guinea,CO2 emissions (kt),458.375,4334.394,6354.911,7693.366,7058.975,7532.018,8181.076999999999,7865.715,6428.251,6776.616,6893.96,9398.521,6985.635,7700.7,7308.331,6028.548000000001
GRC,Greece,CO2 emissions (kt),91616.32800000001,93805.52699999999,93669.84800000001,95738.036,97149.83099999999,98675.30300000001,97285.51,98246.26400000001,95965.39,91942.69099999999,83856.95599999999,79841.591,80050.61,69474.982,67527.805,65059.914000000004
GRD,Grenada,CO2 emissions (kt),190.68400000000003,194.351,205.352,216.35299999999998,205.352,216.35299999999998,231.021,238.355,253.023,253.023,260.357,253.023,271.358,304.361,234.688,260.357
GRL,Greenland,CO2 emissions (kt),454.708,407.037,377.70099999999996,429.039,583.053,608.722,627.057,638.058,660.06,575.719,663.727,707.7310000000001,568.385,553.717,506.046,509.713
GTM,Guatemala,CO2 emissions (kt),9915.568000000001,10392.278,10887.323,10619.632,11375.034,12328.454,12405.461000000001,12398.127,11155.014,11606.055,11400.703000000001,11554.716999999999,11884.747,12918.841,13952.935,15834.106000000002
GUY,Guyana,CO2 emissions (kt),1609.8129999999999,1595.145,1580.477,1565.809,1628.148,1437.464,1290.7839999999999,1562.142,1558.475,1565.809,1719.8229999999999,1782.162,1994.848,1936.1760000000002,2009.516,2016.85
HKG,"Hong Kong SAR, China",CO2 emissions (kt),40439.676,37957.117,39636.602999999996,43358.608,41708.458,43871.988,42056.823,43721.640999999996,42991.907999999996,41745.128,40267.327000000005,43369.609000000004,42980.907,44546.71599999999,45749.492,42647.21
HND,Honduras,CO2 emissions (kt),5031.124,5713.186,6090.887,6769.281999999999,7367.003000000001,7554.02,7620.026,8778.798,8672.455,7873.049,8104.07,8789.799,9163.833,9416.856,9508.530999999999,10018.244
HRV,Croatia,CO2 emissions (kt),19339.758,20395.854,21473.952,22984.756,22376.034,22592.387000000002,22607.055,23828.166,22592.387000000002,21165.924,20172.167,19915.477,18045.307,17601.6,16904.87,17311.907
HTI,Haiti,CO2 emissions (kt),1342.122,1569.476,1826.1660000000002,1734.491,1987.514,2075.522,2112.192,2390.884,2398.218,2269.873,2126.86,2093.857,2200.2,2306.5429999999997,2808.922,2933.6
HUN,Hungary,CO2 emissions (kt),55826.407999999996,56977.846,56064.763,59053.367999999995,57458.223,58019.274000000005,57384.883,55980.422,54788.647000000004,48510.742999999995,50223.232,48587.75,45206.776,42306.179000000004,41341.758,44418.371
IDN,Indonesia,CO2 emissions (kt),263418.945,294907.474,306737.216,316792.13,337635.35799999995,341991.75399999996,345119.705,375544.804,416560.19899999996,446420.58,428760.30799999996,509969.69,529632.144,415012.725,369945.295,512749.276
IND,India,CO2 emissions (kt),1031853.463,1041152.975,1054258.8329999999,1099597.621,1154320.262,1222563.132,1303717.509,1407607.2859999998,1568379.5669999998,1738645.711,1719690.9880000001,1836561.945,2013788.055,2030971.6169999999,2232729.957,2337749.17
IRL,Ireland,CO2 emissions (kt),41228.081,44029.669,43413.613,42687.547,43761.977999999996,43464.950999999994,43145.922,44469.709,43083.583,40480.013,40058.308,35635.906,35588.235,34873.17,34004.091,35907.263999999996
IRN,"Iran, Islamic Rep.",CO2 emissions (kt),372237.17,398437.885,401760.18700000003,418437.703,447036.636,468807.615,509338.966,519324.20700000005,541582.897,554278.051,573031.089,589055.879,611761.943,619524.9820000001,652392.303,650078.426
IRQ,Iraq,CO2 emissions (kt),72445.25200000001,85342.091,87259.93199999999,91117.616,114084.037,113522.98599999999,98770.645,62155.65,93149.134,104546.17,112195.53199999999,136830.438,154446.706,165612.721,166628.48,167273.872
ISL,Iceland,CO2 emissions (kt),2163.53,2101.1910000000003,2170.864,2167.197,2244.2039999999997,2229.536,2299.209,2310.21,2119.526,2053.52,1961.845,1881.171,1873.8370000000002,1899.506,1983.8470000000002,1987.514
ISR,Israel,CO2 emissions (kt),60259.810999999994,63596.780999999995,59812.437000000005,62889.05,59020.365,56952.177,62471.012,63072.4,68264.872,64469.527,68880.928,69130.284,75529.19900000001,66039.003,62881.71599999999,66207.685
JAM,Jamaica,CO2 emissions (kt),10307.937,10615.965,10241.931,10667.303,10670.97,10498.621000000001,11496.045,9651.544,10007.243,7601.691,7161.651,7730.036,7370.67,8001.394,7293.6630000000005,7572.355
JOR,Jordan,CO2 emissions (kt),15507.743,16002.788,16886.535,17469.588,19240.749,21059.581000000002,21121.92,22035.002999999997,21349.273999999998,21891.99,21180.592,21668.303,24444.222,24462.557,26571.082000000002,26200.715
