Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
HND,Honduras,Urban population,2988640.0,3103449.0,3229730.0,3358944.0,3490501.0,3623948.0,3759510.0,3896841.0,4035650.0,4175234.0,4315519.0,4455999.0,4597020.0,4738707.0,4882050.0,5027140.0
HRV,Croatia,Urban population,2387324.0,2306414.0,2315000.0,2322932.0,2330812.0,2341055.0,2348849.0,2355577.0,2362537.0,2367290.0,2369143.0,2368126.0,2368751.0,2370674.0,2370234.0,2360534.0
HTI,Haiti,Urban population,3013115.0,3206871.0,3408428.0,3617447.0,3770731.0,3920687.0,4074700.0,4232448.0,4394114.0,4558835.0,4726823.0,4897847.0,5071853.0,5248180.0,5426832.0,5607352.0
HUN,Hungary,Urban population,6593735.0,6588305.0,6611324.0,6633742.0,6660205.0,6694281.0,6737243.0,6779707.0,6820246.0,6861506.0,6891116.0,6916190.0,6912310.0,6920508.0,6928924.0,6939335.0
IDN,Indonesia,Urban population,88840036.0,91738482.0,94698443.0,97720468.0,100811250.0,103961908.0,107178769.0,110459097.0,113814309.0,117243827.0,120709130.0,124016544.0,127396459.0,130826016.0,134287151.0,137751865.0
IMN,Isle of Man,Urban population,39873.0,40276.0,40609.0,40916.0,41261.0,41682.0,42205.0,42803.0,43389.0,43855.0,44121.0,44151.0,43996.0,43748.0,43549.0,43486.0
IND,India,Urban population,292322757.0,300118524.0,308796507.0,317584393.0,326495067.0,335503762.0,344622641.0,353850625.0,363154577.0,372465917.0,381763166.0,391040303.0,400417728.0,409909187.0,419568459.0,429428653.0
IRL,Ireland,Urban population,2250951.0,2296510.0,2345367.0,2394915.0,2450379.0,2515791.0,2595694.0,2680715.0,2744952.0,2782090.0,2806411.0,2827835.0,2849043.0,2873286.0,2903635.0,2940510.0
IRN,"Iran, Islamic Rep.",Urban population,42026541.0,43031116.0,44050010.0,45078311.0,46107032.0,47130046.0,48145863.0,49125150.0,50093529.0,51080202.0,52095517.0,53140089.0,54203628.0,55292621.0,56418308.0,57580319.0
IRQ,Iraq,Urban population,16094906.0,16594707.0,17104294.0,17607000.0,18080764.0,18513378.0,18889524.0,19223314.0,19565443.0,19985687.0,20552598.0,21282801.0,22141872.0,23075649.0,24005089.0,24872481.0
ISL,Iceland,Urban population,259836.0,263687.0,266425.0,268644.0,271378.0,276072.0,283000.0,290623.0,296449.0,297832.0,297604.0,298556.0,300190.0,303150.0,306653.0,309974.0
ISR,Israel,Urban population,5735757.0,5876682.0,6000381.0,6113918.0,6227239.0,6342289.0,6459778.0,6579915.0,6702316.0,6869011.0,7000447.0,7136149.0,7274496.0,7417238.0,7566988.0,7724692.0
ITA,Italy,Urban population,38277624.0,38333314.0,38447500.0,38686985.0,39006818.0,39267369.0,39454178.0,39722857.0,40056298.0,40308358.0,40502481.0,40641670.0,40894259.0,41548775.0,42109853.0,42247229.0
JAM,Jamaica,Urban population,1375507.0,1392263.0,1407038.0,1420747.0,1434039.0,1447023.0,1459781.0,1472254.0,1484715.0,1497366.0,1510426.0,1524024.0,1538503.0,1553708.0,1569364.0,1585234.0
JOR,Jordan,Urban population,4009375.0,4084287.0,4163394.0,4255280.0,4370503.0,4582815.0,4851350.0,5152537.0,5487248.0,5854308.0,6251314.0,6680105.0,7134935.0,7593824.0,8028044.0,8363640.0
JPN,Japan,Urban population,99760751.0,101706485.0,104055019.0,106256267.0,108136910.0,109856670.0,111383848.0,112827761.0,114107975.0,115228215.0,116302928.0,116416235.0,116331281.0,116262976.0,116208079.0,116182717.0
KAZ,Kazakhstan,Urban population,8349417.0,8346075.0,8357267.0,8396312.0,8465822.0,8552467.0,8654579.0,8765446.0,8942684.0,9133481.0,9275230.0,9421048.0,9566957.0,9718100.0,9874723.0,10032906.0
KEN,Kenya,Urban population,6358390.0,6648221.0,6949821.0,7264511.0,7593876.0,7938446.0,8299729.0,8677870.0,9072572.0,9482262.0,9907051.0,10349396.0,10809150.0,11286201.0,11778202.0,12284623.0
KGZ,Kyrgyz Republic,Urban population,1729037.0,1745422.0,1761468.0,1779932.0,1801551.0,1821882.0,1841521.0,1859060.0,1876703.0,1899444.0,1923436.0,1949521.0,1986238.0,2031430.0,2079480.0,2131200.0
KHM,Cambodia,Urban population,2259173.0,2320183.0,2378420.0,2434572.0,2489816.0,2545033.0,2600254.0,2655691.0,2717205.0,2808855.0,2904520.0,3004694.0,3109364.0,3217889.0,3329689.0,3443896.0
KIR,Kiribati,Urban population,36255.0,37321.0,37971.0,38654.0,39396.0,40208.0,41539.0,43308.0,45140.0,46980.0,48777.0,50516.0,52209.0,53866.0,55541.0,57261.0
KNA,St. Kitts and Nevis,Urban population,14450.0,14539.0,14659.0,14782.0,14902.0,15006.0,15093.0,15164.0,15226.0,15291.0,15351.0,15417.0,15494.0,15584.0,15682.0,15785.0
KOR,"Korea, Rep.",Urban population,37428328.0,37867709.0,38258247.0,38626122.0,38947802.0,39195731.0,39490771.0,39740941.0,40093884.0,40351067.0,40602657.0,40909592.0,41089082.0,41240244.0,41463573.0,41645542.0
KWT,Kuwait,Urban population,2024672.0,2101347.0,2136997.0,2161626.0,2200492.0,2270198.0,2373672.0,2504019.0,2656009.0,2821045.0,2991884.0,3168060.0,3348853.0,3526376.0,3690941.0,3835591.0
LAO,Lao PDR,Urban population,1169990.0,1243825.0,1320796.0,1401187.0,1485877.0,1563651.0,1622169.0,1683371.0,1747050.0,1812307.0,1878749.0,1946164.0,2014818.0,2084844.0,2157058.0,2231865.0
LBN,Lebanon,Urban population,3304789.0,3436970.0,3606734.0,3790064.0,3952238.0,4070397.0,4129657.0,4142870.0,4147326.0,4196333.0,4325706.0,4551218.0,4853837.0,5192446.0,5507602.0,5755681.0
LBR,Liberia,Urban population,1262749.0,1319608.0,1361642.0,1395784.0,1433181.0,1481975.0,1544621.0,1618166.0,1698869.0,1781148.0,1860574.0,1936126.0,2009227.0,2081046.0,2153465.0,2228065.0
LBY,Libya,Urban population,4092732.0,4164194.0,4238418.0,4314782.0,4392193.0,4469572.0,4547785.0,4626696.0,4703527.0,4774509.0,4837400.0,4890308.0,4935068.0,4977662.0,5026582.0,5087798.0
LCA,St. Lucia,Urban population,43530.0,43457.0,41966.0,40479.0,39051.0,37725.0,36496.0,35345.0,34225.0,33089.0,32119.0,32388.0,32591.0,32771.0,32953.0,33165.0
LIE,Liechtenstein,Urban population,5021.0,5020.0,5050.0,5075.0,5097.0,5116.0,5135.0,5152.0,5170.0,5187.0,5206.0,5230.0,5260.0,5294.0,5328.0,5359.0
LKA,Sri Lanka,Urban population,3451323.0,3473139.0,3497775.0,3524535.0,3551533.0,3577319.0,3601999.0,3625538.0,3648476.0,3670930.0,3692904.0,3714802.0,3716533.0,3746058.0,3785336.0,3828283.0
LSO,Lesotho,Urban population,397373.0,408512.0,418084.0,426618.0,435068.0,444115.0,454104.0,463032.0,472857.0,483463.0,494864.0,507158.0,517933.0,529464.0,541552.0,554041.0
LTU,Lithuania,Urban population,2344199.0,2322637.0,2300933.0,2279211.0,2250685.0,2213967.0,2181225.0,2157761.0,2137953.0,2114156.0,2067653.0,2020994.0,1997745.0,1981238.0,1967853.0,1952971.0
LUX,Luxembourg,Urban population,367434.0,374603.0,380583.0,387241.0,394773.0,402818.0,411237.0,419557.0,429035.0,438935.0,448892.0,460842.0,473864.0,486709.0,500042.0,513663.0
LVA,Latvia,Urban population,1611520.0,1588107.0,1567452.0,1551233.0,1536660.0,1522383.0,1507751.0,1494021.0,1476965.0,1452351.0,1423002.0,1397904.0,1381242.0,1367090.0,1354815.0,1344323.0
